         45710 function calls (45094 primitive calls) in 22.515 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       78    0.001    0.000    0.001    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      175    0.000    0.000    0.001    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\urllib\parse.py:374(urlparse)
       27    0.000    0.000    0.001    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\yaml\parser.py:94(check_event)
        1    0.000    0.000    0.001    0.001 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\yaml\composer.py:50(compose_document)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      9/1    0.000    0.000    0.001    0.001 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\yaml\composer.py:63(compose_node)
       30    0.000    0.000    0.000    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\urllib3\util\url.py:227(_encode_invalid_chars)
       20    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\http\cookiejar.py:1599(make_cookies)
        1    0.000    0.000    0.000    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\openai\api_resources\experimental\__init__.py:1(<module>)
       10    0.000    0.000    0.000    0.000 {built-in method nt._path_isdir}
        1    0.000    0.000    0.000    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\yaml\composer.py:117(compose_mapping_node)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       20    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\http\client.py:1027(send)
       13    0.000    0.000    0.000    0.000 {built-in method nt.stat}
      226    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
      230    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py:280(_compile)
       10    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\urllib\request.py:2751(getproxies)
       53    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\http\cookiejar.py:620(request_host)
     3646    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
       20    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\ssl.py:1200(sendall)
       20    0.000    0.000    0.000    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\requests\cookies.py:542(merge_cookies)
       70    0.000    0.000    0.000    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\yaml\scanner.py:113(check_token)
      117    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:200(_is_internal_frame)
       99    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\http\client.py:1292(putheader)
       10    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\http\client.py:1320(endheaders)
       10    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\http\client.py:1082(_send_output)
       20    0.000    0.000    0.000    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\requests\cookies.py:358(update)
       10    0.000    0.000    0.000    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\requests\models.py:483(prepare_headers)
      214    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\email\_policybase.py:301(header_source_parse)
       20    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\ssl.py:1173(send)
       22    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\http\cookiejar.py:726(is_third_party)
       10    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\http\client.py:213(_read_headers)
       10    0.000    0.000    0.000    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\requests\utils.py:76(proxy_bypass_registry)
       31    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\http\cookiejar.py:636(eff_request_host)
       20    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       10    0.000    0.000    0.000    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\urllib3\response.py:573(__init__)
       80    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\email\message.py:494(get)
      309    0.000    0.000    0.000    0.000 <frozen _collections_abc>:892(__iter__)
      258    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
      278    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\email\_policybase.py:319(header_fetch_parse)
      117    0.000    0.000    0.000    0.000 <frozen ntpath>:51(normcase)
       49    0.000    0.000    0.000    0.000 <frozen ntpath>:236(split)
       13    0.000    0.000    0.000    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\yaml\scanner.py:156(fetch_more_tokens)
       18    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\http\cookiejar.py:1123(return_ok_verifiability)
       23    0.000    0.000    0.000    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\urllib3\response.py:465(_decode)
       10    0.000    0.000    0.000    0.000 C:\Users\kayne\PycharmProjects\Hermod\hermod\core\code_generation.py:66(extract_code)
       10    0.000    0.000    0.000    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\urllib3\connection.py:331(putrequest)
       10    0.000    0.000    0.000    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\openai\api_requestor.py:687(_interpret_response)
